run_id,label,n,ods,gap_var,first_half_ods
baseline_000,BASELINE,20,0.000000,0.000000,0.000000
baseline_001,BASELINE,20,0.005263,0.094183,0.022222
baseline_002,BASELINE,20,0.000000,0.000000,0.000000
baseline_003,BASELINE,20,0.000000,0.000000,0.000000
baseline_004,BASELINE,20,0.000000,0.000000,0.000000
baseline_005,BASELINE,20,0.000000,0.000000,0.000000
baseline_006,BASELINE,20,0.000000,0.000000,0.000000
baseline_007,BASELINE,20,0.000000,0.000000,0.000000
baseline_008,BASELINE,20,0.000000,0.000000,0.000000
baseline_009,BASELINE,20,0.005263,0.049861,0.022222
baseline_010,BASELINE,20,0.005263,0.094183,0.022222
baseline_011,BASELINE,20,0.005263,0.049861,0.022222
baseline_012,BASELINE,20,0.000000,0.000000,0.000000
baseline_013,BASELINE,20,0.000000,0.000000,0.000000
baseline_014,BASELINE,20,0.000000,0.000000,0.000000
baseline_015,BASELINE,20,0.005263,0.049861,0.022222
baseline_016,BASELINE,20,0.000000,0.000000,0.000000
baseline_017,BASELINE,20,0.000000,0.000000,0.000000
baseline_018,BASELINE,20,0.000000,0.000000,0.000000
baseline_019,BASELINE,20,0.005263,0.049861,0.022222
baseline_020,BASELINE,20,0.000000,0.000000,0.000000
baseline_021,BASELINE,20,0.000000,0.000000,0.000000
baseline_022,BASELINE,20,0.000000,0.000000,0.000000
baseline_023,BASELINE,20,0.000000,0.000000,0.000000
baseline_024,BASELINE,20,0.010526,0.132964,0.022222
baseline_025,BASELINE,20,0.000000,0.000000,0.000000
baseline_026,BASELINE,20,0.000000,0.000000,0.000000
baseline_027,BASELINE,20,0.000000,0.000000,0.000000
baseline_028,BASELINE,20,0.000000,0.000000,0.000000
baseline_029,BASELINE,20,0.000000,0.000000,0.000000
baseline_030,BASELINE,20,0.005263,0.049861,0.022222
baseline_031,BASELINE,20,0.010526,0.238227,0.044444
baseline_032,BASELINE,20,0.000000,0.000000,0.000000
baseline_033,BASELINE,20,0.000000,0.000000,0.000000
baseline_034,BASELINE,20,0.005263,0.049861,0.022222
baseline_035,BASELINE,20,0.005263,0.049861,0.022222
baseline_036,BASELINE,20,0.005263,0.049861,0.022222
baseline_037,BASELINE,20,0.000000,0.000000,0.000000
baseline_038,BASELINE,20,0.000000,0.000000,0.000000
baseline_039,BASELINE,20,0.000000,0.000000,0.000000
baseline_040,BASELINE,20,0.000000,0.000000,0.000000
baseline_041,BASELINE,20,0.000000,0.000000,0.000000
baseline_042,BASELINE,20,0.005263,0.049861,0.022222
baseline_043,BASELINE,20,0.005263,0.049861,0.022222
baseline_044,BASELINE,20,0.005263,0.094183,0.022222
baseline_045,BASELINE,20,0.000000,0.000000,0.000000
baseline_046,BASELINE,20,0.000000,0.000000,0.000000
baseline_047,BASELINE,20,0.000000,0.000000,0.000000
baseline_048,BASELINE,20,0.000000,0.000000,0.000000
baseline_049,BASELINE,20,0.000000,0.000000,0.000000
baseline_050,BASELINE,20,0.000000,0.000000,0.000000
baseline_051,BASELINE,20,0.005263,0.094183,0.022222
baseline_052,BASELINE,20,0.005263,0.049861,0.022222
baseline_053,BASELINE,20,0.000000,0.000000,0.000000
baseline_054,BASELINE,20,0.000000,0.000000,0.000000
baseline_055,BASELINE,20,0.000000,0.000000,0.000000
baseline_056,BASELINE,20,0.005263,0.049861,0.022222
baseline_057,BASELINE,20,0.000000,0.000000,0.000000
baseline_058,BASELINE,20,0.005263,0.049861,0.022222
baseline_059,BASELINE,20,0.005263,0.049861,0.022222
baseline_060,BASELINE,20,0.010526,0.166205,0.044444
baseline_061,BASELINE,20,0.000000,0.000000,0.000000
baseline_062,BASELINE,20,0.000000,0.000000,0.000000
baseline_063,BASELINE,20,0.005263,0.049861,0.022222
baseline_064,BASELINE,20,0.000000,0.000000,0.000000
baseline_065,BASELINE,20,0.005263,0.049861,0.022222
baseline_066,BASELINE,20,0.005263,0.049861,0.022222
baseline_067,BASELINE,20,0.005263,0.049861,0.022222
baseline_068,BASELINE,20,0.000000,0.000000,0.000000
baseline_069,BASELINE,20,0.000000,0.000000,0.000000
baseline_070,BASELINE,20,0.000000,0.000000,0.000000
baseline_071,BASELINE,20,0.000000,0.000000,0.000000
baseline_072,BASELINE,20,0.000000,0.000000,0.000000
baseline_073,BASELINE,20,0.000000,0.000000,0.000000
baseline_074,BASELINE,20,0.005263,0.049861,0.022222
baseline_075,BASELINE,20,0.000000,0.000000,0.000000
baseline_076,BASELINE,20,0.005263,0.049861,0.022222
baseline_077,BASELINE,20,0.000000,0.000000,0.000000
baseline_078,BASELINE,20,0.000000,0.000000,0.000000
baseline_079,BASELINE,20,0.000000,0.000000,0.000000
baseline_080,BASELINE,20,0.000000,0.000000,0.000000
baseline_081,BASELINE,20,0.000000,0.000000,0.000000
baseline_082,BASELINE,20,0.000000,0.000000,0.000000
baseline_083,BASELINE,20,0.000000,0.000000,0.000000
baseline_084,BASELINE,20,0.005263,0.049861,0.022222
baseline_085,BASELINE,20,0.000000,0.000000,0.000000
baseline_086,BASELINE,20,0.000000,0.000000,0.000000
